PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,OPENPRC
10104,20150102,ORCL,ORACLE CORP,43.97,45.1898,44.33,45.02
10104,20150105,ORCL,ORACLE CORP,43.58,44.25,43.59,44.16
10104,20150106,ORCL,ORACLE CORP,42.99,44.18,43.14,44.06
10104,20150107,ORCL,ORACLE CORP,43.01,43.52,43.15,43.33
10104,20150108,ORCL,ORACLE CORP,43.38,43.94,43.41,43.63
10104,20150109,ORCL,ORACLE CORP,43.26,44.1,43.39,43.98
10104,20150112,ORCL,ORACLE CORP,42.86,43.77,43.27,43.26
10104,20150113,ORCL,ORACLE CORP,42.57,43.95,42.93,43.67
10104,20150114,ORCL,ORACLE CORP,42.46,43.17,43.06,42.46
10104,20150115,ORCL,ORACLE CORP,42.57,43.64,42.63,43.48
10104,20150116,ORCL,ORACLE CORP,42.25,43.62,43.51,42.49
10104,20150120,ORCL,ORACLE CORP,43.23,44.03,43.9,43.56
10104,20150121,ORCL,ORACLE CORP,43.21,43.93,43.49,43.69
10104,20150122,ORCL,ORACLE CORP,43.18,45.33,44.05,43.95
10104,20150123,ORCL,ORACLE CORP,43.92,44.54,44.19,43.98
10104,20150126,ORCL,ORACLE CORP,43.54,44.21,43.9,44.17
10104,20150127,ORCL,ORACLE CORP,42.58,43.87,43.4,43.01
10104,20150128,ORCL,ORACLE CORP,42.67,43.98,42.69,43.94
10104,20150129,ORCL,ORACLE CORP,42.32,43.02,42.86,42.82
10104,20150130,ORCL,ORACLE CORP,41.82,42.52,41.89,42.09
10104,20150202,ORCL,ORACLE CORP,41.56,42.71,42.68,42.21
10104,20150203,ORCL,ORACLE CORP,42.535,43.14,43.04,42.94
10104,20150204,ORCL,ORACLE CORP,42.32,43.16,42.42,42.97
10104,20150205,ORCL,ORACLE CORP,42.5,43.24,43.16,42.5
10104,20150206,ORCL,ORACLE CORP,42.88,43.47,42.98,43.26
10104,20150209,ORCL,ORACLE CORP,42.63,43.63,43.4,42.63
10104,20150210,ORCL,ORACLE CORP,43.56,44.06,43.99,43.79
10104,20150211,ORCL,ORACLE CORP,43.085,44,43.36,43.96
10104,20150212,ORCL,ORACLE CORP,43.41,44.06,43.89,43.48
10104,20150213,ORCL,ORACLE CORP,43.8,44.23,43.93,43.8
10104,20150217,ORCL,ORACLE CORP,43.54,43.9,43.84,43.67
10104,20150218,ORCL,ORACLE CORP,43.65,44.11,44.1,43.71
10104,20150219,ORCL,ORACLE CORP,44,44.37,44.11,44.13
10104,20150220,ORCL,ORACLE CORP,43.46,44.09,43.77,44.06
10104,20150223,ORCL,ORACLE CORP,43.3032,43.88,43.78,43.46
10104,20150224,ORCL,ORACLE CORP,43.38,43.96,43.88,43.79
10104,20150225,ORCL,ORACLE CORP,43.38,44.09,43.73,43.83
10104,20150226,ORCL,ORACLE CORP,43.71,44.15,43.89,43.8
10104,20150227,ORCL,ORACLE CORP,43.68,44.11,43.82,43.77
10104,20150302,ORCL,ORACLE CORP,43.48,44.04,44.03,43.81
10104,20150303,ORCL,ORACLE CORP,43.17,43.88,43.38,43.83
10104,20150304,ORCL,ORACLE CORP,42.82,43.66,43.61,43.2
10104,20150305,ORCL,ORACLE CORP,43.255,43.89,43.8,43.66
10104,20150306,ORCL,ORACLE CORP,42.3,43.61,42.38,43.61
10104,20150309,ORCL,ORACLE CORP,42.1901,42.79,42.69,42.25
10104,20150310,ORCL,ORACLE CORP,41.775,42.55,41.82,42.24
10104,20150311,ORCL,ORACLE CORP,41.41,42.16,41.47,41.93
10104,20150312,ORCL,ORACLE CORP,41.26,41.76,41.62,41.46
10104,20150313,ORCL,ORACLE CORP,41.51,42.47,42.38,41.54
10104,20150316,ORCL,ORACLE CORP,42.74,43.53,43.41,42.82
10104,20150317,ORCL,ORACLE CORP,42.86,43.34,42.87,43.11
10104,20150318,ORCL,ORACLE CORP,43.35,44.935,44.13,44.3
10104,20150319,ORCL,ORACLE CORP,44,44.49,44.16,44
10104,20150320,ORCL,ORACLE CORP,44.06,44.73,44.41,44.13
10104,20150323,ORCL,ORACLE CORP,44.16,44.62,44.25,44.34
10104,20150324,ORCL,ORACLE CORP,43.71,44.5,43.71,44.33
10104,20150325,ORCL,ORACLE CORP,42.93,43.75,42.93,43.68
10104,20150326,ORCL,ORACLE CORP,42.46,43.23,42.99,42.78
10104,20150327,ORCL,ORACLE CORP,42.42,43.12,42.64,42.93
10104,20150330,ORCL,ORACLE CORP,43.115,43.63,43.44,43.23
10104,20150331,ORCL,ORACLE CORP,43.13,43.57,43.15,43.31
10104,20150401,ORCL,ORACLE CORP,42.72,43.12,42.94,42.99
10104,20150402,ORCL,ORACLE CORP,42.48,43.11,42.62,42.99
10104,20150406,ORCL,ORACLE CORP,42.21,43.1,42.96,42.28
10104,20150407,ORCL,ORACLE CORP,42.94,43.48,42.96,42.99
10104,20150408,ORCL,ORACLE CORP,42.85,43.34,43.11,42.85
10104,20150409,ORCL,ORACLE CORP,42.74,43.31,43.2,42.97
10104,20150410,ORCL,ORACLE CORP,43.08,43.89,43.51,43.08
10104,20150413,ORCL,ORACLE CORP,43.03,43.79,43.08,43.55
10104,20150414,ORCL,ORACLE CORP,42.51,43.06,42.73,43.04
10104,20150415,ORCL,ORACLE CORP,42.83,44.19,43.99,42.95
10104,20150416,ORCL,ORACLE CORP,43.25,43.96,43.46,43.69
10104,20150417,ORCL,ORACLE CORP,42.86,43.4,43,43.06
10104,20150420,ORCL,ORACLE CORP,43.25,43.81,43.32,43.31
10104,20150421,ORCL,ORACLE CORP,43.4,43.87,43.42,43.51
10104,20150422,ORCL,ORACLE CORP,43.34,43.75,43.55,43.51
10104,20150423,ORCL,ORACLE CORP,42.985,43.63,43.39,43.51
10104,20150424,ORCL,ORACLE CORP,42.75,43.58,43.08,43.41
10104,20150427,ORCL,ORACLE CORP,43.07,43.95,43.61,43.1
10104,20150428,ORCL,ORACLE CORP,43.45,44.58,44.5,43.71
10104,20150429,ORCL,ORACLE CORP,43.68,44.9,44.73,44.4
10104,20150430,ORCL,ORACLE CORP,43.505,44.41,43.62,44.05
10104,20150501,ORCL,ORACLE CORP,43.44,44.38,44.37,43.44
10104,20150504,ORCL,ORACLE CORP,44.24,44.85,44.59,44.55
10104,20150505,ORCL,ORACLE CORP,43.89,44.62,43.92,44.47
10104,20150506,ORCL,ORACLE CORP,43,44.24,43.26,44.2
10104,20150507,ORCL,ORACLE CORP,43.02,43.66,43.48,43.17
10104,20150508,ORCL,ORACLE CORP,43.69,44.24,44.01,43.83
10104,20150511,ORCL,ORACLE CORP,43.6,44.2,43.84,43.97
10104,20150512,ORCL,ORACLE CORP,43.28,43.69,43.57,43.65
10104,20150513,ORCL,ORACLE CORP,43.62,44.07,43.79,43.76
10104,20150514,ORCL,ORACLE CORP,44,44.4,44.38,44.11
10104,20150515,ORCL,ORACLE CORP,43.94,44.44,44.15,44.41
10104,20150518,ORCL,ORACLE CORP,43.875,44.41,44.24,43.94
10104,20150519,ORCL,ORACLE CORP,44.16,44.46,44.32,44.42
10104,20150520,ORCL,ORACLE CORP,44.0901,44.6,44.29,44.22
10104,20150521,ORCL,ORACLE CORP,43.95,44.45,44.28,44.22
10104,20150522,ORCL,ORACLE CORP,43.88,44.27,43.93,44.2
10104,20150526,ORCL,ORACLE CORP,43.15,43.83,43.33,43.74
10104,20150527,ORCL,ORACLE CORP,43.41,44.25,44.14,43.54
10104,20150528,ORCL,ORACLE CORP,43.64,44.25,43.86,44.08
10104,20150529,ORCL,ORACLE CORP,43.36,43.84,43.49,43.79
10104,20150601,ORCL,ORACLE CORP,43.64,44.06,43.79,43.84
10104,20150602,ORCL,ORACLE CORP,43.14,44.01,43.7,43.51
10104,20150603,ORCL,ORACLE CORP,43.59,44.09,43.97,43.74
10104,20150604,ORCL,ORACLE CORP,43.5084,44.11,43.77,43.74
10104,20150605,ORCL,ORACLE CORP,43.49,44.02,43.81,43.83
10104,20150608,ORCL,ORACLE CORP,43.08,43.89,43.1,43.81
10104,20150609,ORCL,ORACLE CORP,42.82,43.37,43.07,43.35
10104,20150610,ORCL,ORACLE CORP,43.06,44.05,43.94,43.28
10104,20150611,ORCL,ORACLE CORP,44.03,44.42,44.28,44.17
10104,20150612,ORCL,ORACLE CORP,43.9,44.39,44.34,43.98
