"Company" "Part" "p" "d" "q"
"1" "Microsoft" "1" "0" "0.276647747013202" "0"
"2" "Oracle" "1" "0" "0.307102455075832" "0"
"3" "Exxon" "1" "0" "0.372413440124822" "0"
"4" "General Motors" "1" "0" "0.247258558507353" "0"
"5" "IBM" "1" "0" "0.254798621446411" "0"
"6" "Facebook" "1" "0" "0.310818844273418" "0"
"7" "Chevron" "1" "0" "0.355200614073327" "0"
"8" "Apple" "1" "0" "0.241261587837078" "0"
"9" "Alibaba" "1" "0" "0.337732919281832" "0"
"10" "PG" "1" "0" "0.243159350133252" "0"
"11" "Pfizer" "1" "0" "0.286301793938886" "0"
"12" "Johnson" "1" "0" "0.235389944462754" "0"
"13" "Disney" "1" "0" "0.31610747890908" "0"
"14" "Wells Fargo" "1" "0" "0.277160181941382" "0"
"15" "JP Morgan" "1" "0" "0.252124661042374" "0"
"16" "Walmart" "1" "0" "0.288933827605488" "0"
"17" "Intel" "1" "0" "0.33257120845978" "0"
"18" "Bank of America" "1" "0" "0.260294293997096" "0"
"19" "Verizon" "1" "0" "0.228036825914873" "0"
"21" "ATT" "1" "0" "0.227812039220304" "0"
"22" "Home Depot" "1" "0" "0.316134065274242" "0"
"22.1" "Citi" "1" "0" "0.247847791689005" "0"
"23" "Amazon" "1" "0" "0.292915721990877" "0"
"24" "China Mobile" "1" "1" "0.189104808591954" "1"
"25" "Taiwan Semiconductors" "1" "0" "0.214531985421815" "0"
"26" "Novartis" "1" "0" "0.277830249338526" "0"
"27" "Netflix" "1" "2" "4.58301292387754e-05" "1"
"29" "Visa" "1" "0" "0.282155026562951" "0"
"29.1" "United Health" "1" "0" "0.282385585846312" "0"
"30" "Busch" "1" "0" "0.251696072251675" "0"
