"Company","Part","p","d","q"
"Microsoft","1","0","0.276647747013202","0"
"Oracle","1","0","0.307102455075832","0"
"Exxon","1","0","0.372413440124822","0"
"General Motors","1","0","0.247258558507353","0"
"IBM","1","0","0.254798621446411","0"
"Facebook","1","0","0.310818844273418","0"
"Chevron","1","0","0.355200614073327","0"
"Apple","1","0","0.241261587837078","0"
"Alibaba","1","0","0.337732919281832","0"
"PG","1","0","0.243159350133252","0"
"Pfizer","1","0","0.286301793938886","0"
"Johnson","1","0","0.235389944462754","0"
"Disney","1","0","0.31610747890908","0"
"Wells Fargo","1","0","0.277160181941382","0"
"JP Morgan","1","0","0.252124661042374","0"
"Walmart","1","0","0.288933827605488","0"
"Intel","1","0","0.33257120845978","0"
"Bank of America","1","0","0.260294293997096","0"
"Verizon","1","0","0.228036825914873","0"
"ATT","1","0","0.227812039220304","0"
"Home Depot","1","0","0.316134065274242","0"
"Citi","1","0","0.247847791689005","0"
"Amazon","1","0","0.292915721990877","0"
"China Mobile","1","0","0.296566013578095","0"
"Taiwan Semiconductors","1","0","0.214531985421815","0"
"Novartis","1","0","0.277830249338526","0"
"Netflix","1","0","0.303033145561154","0"
"Visa","1","0","0.282155026562951","0"
"United Health","1","0","0.282385585846312","0"
"Busch","1","0","0.251696072251675","0"
"Microsoft","2","0","0.393042126158308","0"
"Oracle","2","0","0.317926761032724","0"
"Exxon","2","0","0.338315591041605","0"
"General Motors","2","0","0.254635773695612","0"
"IBM","2","0","0.355353813098545","0"
"Facebook","2","0","0.348691676426168","0"
"Chevron","2","0","0.335274287629159","0"
"Apple","2","0","0.345481542262478","0"
"Alibaba","2","0","0.273160808675867","0"
"PG","2","0","0.294032814743861","0"
"Pfizer","2","0","0.364402111937914","0"
"Johnson","2","0","0.266231175089895","0"
"Disney","2","0","0.303034374807771","0"
"Wells Fargo","2","0","0.285415709929603","0"
"JP Morgan","2","0","0.278566949711577","0"
"Walmart","2","0","0.291232015841012","0"
"Intel","2","0","0.277453472248126","0"
"Bank of America","2","0","0.295749328156063","0"
"Verizon","2","0","0.291591593198533","0"
"ATT","2","0","0.309876955215506","0"
"Home Depot","2","0","0.260686486506151","0"
"Citi","2","0","0.243969622838998","0"
"Amazon","2","0","0.430155537189374","0"
"China Mobile","2","0","0.248138925112548","0"
"Taiwan Semiconductors","2","0","0.280795097591916","0"
"Novartis","2","0","0.324525805506068","0"
"Netflix","2","0","0.327647998682363","0"
"Visa","2","0","0.362969737020677","0"
"United Health","2","0","0.301605488171917","0"
"Busch","2","0","0.245882342112547","0"
