Company,Part,Model,AR,d,MA
Microsoft,1,"ARFIMA(0,d,0)",0,0.276647747,0
Oracle,1,"ARFIMA(0,d,0)",0,0.307102455,0
Exxon,1,"ARFIMA(0,d,0)",0,0.37241344,0
General Motors,1,"ARFIMA(0,d,0)",0,0.247258559,0
IBM,1,"ARFIMA(0,d,0)",0,0.254798621,0
Facebook,1,"ARFIMA(0,d,0)",0,0.310818844,0
Chevron,1,"ARFIMA(0,d,0)",0,0.355200614,0
Apple,1,"ARFIMA(0,d,0)",0,0.241261588,0
Alibaba,1,"ARFIMA(0,d,0)",0,0.337732919,0
PG,1,"ARFIMA(0,d,0)",0,0.24315935,0
Pfizer,1,"ARFIMA(0,d,0)",0,0.286301794,0
Johnson,1,"ARFIMA(0,d,0)",0,0.235389944,0
Disney,1,"ARFIMA(0,d,0)",0,0.316107479,0
Wells Fargo,1,"ARFIMA(0,d,0)",0,0.277160182,0
JP Morgan,1,"ARFIMA(0,d,0)",0,0.252124661,0
Walmart,1,"ARFIMA(0,d,0)",0,0.288933828,0
Intel,1,"ARFIMA(0,d,0)",0,0.332571208,0
Bank of America,1,"ARFIMA(0,d,0)",0,0.260294294,0
Verizon,1,"ARFIMA(0,d,0)",0,0.228036826,0
ATT,1,"ARFIMA(0,d,0)",0,0.227812039,0
Home Depot,1,"ARFIMA(0,d,0)",0,0.316134065,0
Citi,1,"ARFIMA(0,d,0)",0,0.247847792,0
Amazon,1,"ARFIMA(0,d,0)",0,0.292915722,0
China Mobile,1,"ARFIMA(0,d,0)",0,0.296566014,0
Taiwan Semiconductors,1,"ARFIMA(0,d,0)",0,0.214531985,0
Novartis,1,"ARFIMA(0,d,0)",0,0.277830249,0
Netflix,1,"ARFIMA(0,d,0)",0,0.303033146,0
Visa,1,"ARFIMA(0,d,0)",0,0.282155027,0
United Health,1,"ARFIMA(0,d,0)",0,0.282385586,0
Busch,1,"ARFIMA(0,d,0)",0,0.251696072,0
Microsoft,2,"ARFIMA(0,d,0)",0,0.396322857,0
Oracle,2,"ARFIMA(0,d,0)",0,0.327900295,0
Exxon,2,"ARFIMA(1,d,1)",0.665237967,0.252897846,0.593639759
General Motors,2,"ARFIMA(0,d,0)",0,0.286037894,0
IBM,2,"ARFIMA(0,d,0)",0,0.35048284,0
Facebook,2,"ARFIMA(0,d,0)",0,0.349493249,0
Chevron,2,"ARFIMA(1,d,1)",0.738471284,0.239678494,0.677446217
Apple,2,"ARFIMA(0,d,0)",0,0.350428787,0
Alibaba,2,"ARFIMA(0,d,0)",0,0.304153111,0
PG,2,"ARFIMA(0,d,0)",0,0.286358378,0
Pfizer,2,"ARFIMA(0,d,0)",0,0.36636697,0
Johnson,2,"ARFIMA(0,d,0)",0,0.277326928,0
Disney,2,"ARFIMA(0,d,0)",0,0.31380353,0
Wells Fargo,2,"ARFIMA(0,d,0)",0,0.310967359,0
JP Morgan,2,"ARFIMA(0,d,0)",0,0.28685616,0
Walmart,2,"ARFIMA(0,d,0)",0,0.308893316,0
Intel,2,"ARFIMA(0,d,0)",0,0.291704167,0
Bank of America,2,"ARFIMA(0,d,0)",0,0.318436132,0
Verizon,2,"ARFIMA(0,d,0)",0,0.307528086,0
ATT,2,"ARFIMA(0,d,0)",0,0.339049909,0
Home Depot,2,"ARFIMA(0,d,0)",0,0.30473546,0
Citi,2,"ARFIMA(0,d,0)",0,0.273630993,0
Amazon,2,"ARFIMA(1,d,1)",0.862188081,0.134513773,0.622569422
China Mobile,2,"ARFIMA(0,d,0)",0,0.264556742,0
Taiwan Semiconductors,2,"ARFIMA(0,d,0)",0,0.284799983,0
Novartis,2,"ARFIMA(0,d,0)",0,0.330483371,0
Netflix,2,"ARFIMA(0,d,0)",0,0.321564148,0
Visa,2,"ARFIMA(0,d,0)",0,0.36673479,0
United Health,2,"ARFIMA(0,d,0)",0,0.316503986,0
Busch,2,"ARFIMA(0,d,0)",0,0.258550741,0
,,,,,
