"","v.t_taiwan_1","v.t_att_1","v.t_verizon_1","v.t_johnson_1","v.t_apple_1","v.t_pg_1","v.t_gm_1","v.t_citi_1","v.t_busch_1","v.t_jpmorgan_1","v.t_ibm_1","v.t_bankofa_1","v.t_microsoft_1","v.t_wellsfargo_1","v.t_novartis_1","v.t_visa_1","v.t_unhealth_1","v.t_pfizer_1","v.t_walmart_1","v.t_amazon_1","v.t_chinamob_1","v.t_netflix_1","v.t_oracle_1","v.t_facebook_1","v.t_disney_1","v.t_homedep_1","v.t_intel_1","v.t_alibaba_1","v.t_chevron_1","v.t_exxon_1"
"v.t_taiwan_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_att_1",0.5138002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_verizon_1",0.0143671,0.0726279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_johnson_1",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_apple_1",0,0,0,2e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_pg_1",9e-07,2.13e-05,0.0140104,3.48e-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_gm_1",0.0251196,0.1125711,0.8348778,0,0,0.0076902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_citi_1",0,1e-07,0.0002784,0.0030543,0,0.2387418,0.0001216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_busch_1",0,0,0,0.9212652,1e-07,5.33e-05,0,0.004191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_jpmorgan_1",0,0,3e-07,0.1364658,0,0.0080167,1e-07,0.1406273,0.1644524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
