"","v.t_chevron_2","v.t_exxon_2","v.t_busch_2","v.t_chinamob_2","v.t_citi_2","v.t_johnson_2","v.t_taiwan_2","v.t_gm_2","v.t_pg_2","v.t_jpmorgan_2","v.t_intel_2","v.t_alibaba_2","v.t_homedep_2","v.t_verizon_2","v.t_walmart_2","v.t_wellsfargo_2","v.t_disney_2","v.t_unhealth_2","v.t_bankofa_2","v.t_amazon_2","v.t_netflix_2","v.t_oracle_2","v.t_novartis_2","v.t_att_2","v.t_facebook_2","v.t_apple_2","v.t_ibm_2","v.t_pfizer_2","v.t_visa_2","v.t_microsoft_2"
"v.t_chevron_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_exxon_2",0.5861182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_busch_2",0.593411,0.9915614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_chinamob_2",0.3055813,0.6307951,0.6232995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_citi_2",0.6704123,0.9053204,0.9137046,0.5488514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_johnson_2",0.9734132,0.563415,0.5705735,0.2901498,0.6463082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_taiwan_2",0.388138,0.7498547,0.7418494,0.8714421,0.6615742,0.3701059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_gm_2",0.4377907,0.8168047,0.8086005,0.8033551,0.7259032,0.4183915,0.9305226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_pg_2",0.6752671,0.9000507,0.9084283,0.5444273,0.9946906,0.6510922,0.6567589,0.7209174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_jpmorgan_2",0.9335825,0.644674,0.6522767,0.3465197,0.732149,0.9071251,0.4355241,0.4885097,0.7371608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
