"","v.t_chevron_2","v.t_exxon_2","v.t_busch_2","v.t_chinamob_2","v.t_citi_2","v.t_johnson_2","v.t_taiwan_2","v.t_gm_2","v.t_pg_2","v.t_jpmorgan_2","v.t_intel_2","v.t_alibaba_2","v.t_homedep_2","v.t_verizon_2","v.t_walmart_2","v.t_wellsfargo_2","v.t_disney_2","v.t_unhealth_2","v.t_bankofa_2","v.t_amazon_2","v.t_netflix_2","v.t_oracle_2","v.t_novartis_2","v.t_att_2","v.t_facebook_2","v.t_apple_2","v.t_ibm_2","v.t_pfizer_2","v.t_visa_2","v.t_microsoft_2"
"v.t_chevron_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_exxon_2",0.0007717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_busch_2",0.0009756,0.9479175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_chinamob_2",0,0.0029942,0.0024164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_citi_2",0.0085768,0.4625733,0.5033068,0.0002135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_johnson_2",0.8369167,0.0003591,0.0004597,0,0.0045935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_taiwan_2",1e-07,0.0489344,0.0419041,0.3175645,0.0068599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_gm_2",1.6e-06,0.1525,0.1346351,0.1240687,0.0303684,6e-07,0.5902413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_pg_2",0.0096705,0.4379181,0.4774603,0.0001814,0.9672173,0.0052197,0.0060575,0.0273602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_jpmorgan_2",0.6067527,0.0043954,0.0053858,0,0.0345224,0.4711869,1.5e-06,1.88e-05,0.0381884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_intel_2",0.0002083,0.7291423,0.6806411,0.0087363,0.2797557,9.06e-05,0.1045991,0.2781351,0.2618776,0.0014012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_alibaba_2",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_homedep_2",2e-07,0,0,0,0,7e-07,0,0,0,0,0,5.34e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_verizon_2",5.5e-06,0.2362191,0.21137,0.0743959,0.054982,2e-06,0.4325888,0.805459,0.0499831,5.53e-05,0.401895,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_walmart_2",0.0527641,0.1537539,0.1734881,1.11e-05,0.4890513,0.032142,0.0006861,0.0042787,0.5152267,0.1549661,0.0762922,0,0,0.0090369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_wellsfargo_2",2.25e-05,0.3809464,0.3464624,0.0363971,0.1072418,8.8e-06,0.2743461,0.5791413,0.0985737,0.0001961,0.5961843,0,0,0.7578136,0.0213127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_disney_2",0.8737337,0.0013557,0.0016974,0,0.0135258,0.7152935,2e-07,3.6e-06,0.0151602,0.7219918,0.0003853,0,1e-07,1.15e-05,0.0754108,4.51e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_unhealth_2",0,0,0,0,0,0,0,0,0,0,0,0.0275509,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_bankofa_2",0,0.0157586,0.0131471,0.5795237,0.0016395,0,0.656025,0.3251736,0.0014234,1e-07,0.0386134,0,0,0.2186393,0.000123,0.1239321,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_amazon_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"v.t_netflix_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
